current_price,days_to_expiry,stock_level,demand_score,category,historical_sales,day_of_week,target_price
27.47608618006285,26,270,0.3702838552861858,seafood,52,monday,24.05
5.797880430957836,13,270,0.6826879072656005,dairy,52,saturday,4.66
1.8542676439134518,26,263,0.8473196668199093,vegetables,51,tuesday,1.98
42.29318791183682,23,216,0.6031628471055782,meat,56,tuesday,37.91
40.411502595033014,-1,32,0.5486174894462985,seafood,53,monday,4.06
13.61035420365183,28,351,0.4705919448545703,seafood,44,saturday,13.02
5.358261059948645,27,445,0.6849621661061844,bakery,40,monday,4.42
14.6543412601132,14,317,0.11593449875168234,bakery,52,thursday,8.69
6.781180725350292,17,97,0.49276062429267126,dairy,46,monday,6.26
7.027559501906986,15,359,0.6134602073141875,dairy,60,tuesday,6.55
37.668005549160775,0,403,0.15515561128644328,meat,52,friday,2.83
6.270483574942402,18,303,0.42411491803938134,bakery,51,monday,4.8
15.004138074707097,16,3,0.7199293505012083,bakery,47,tuesday,15.29
16.81362282767681,22,489,0.4617492454422517,seafood,41,saturday,18.47
49.51134930627231,-2,263,0.5103210259978073,seafood,39,friday,4.16
6.7446758606028485,18,59,0.5879890069382605,fruits,51,tuesday,6.49
1.8630201947649256,2,473,0.1496238444242748,fruits,44,friday,0.81
1.6848391245570102,13,340,0.7998277044859967,vegetables,52,sunday,1.18
17.987491856930436,24,339,0.053331783754121065,other,51,monday,13.91
4.426780001028032,18,113,0.5810100686312178,other,45,sunday,4.95
24.304731231875827,10,278,0.37052163552112016,meat,58,saturday,21.49
4.615309999069075,24,468,0.3066269280930497,fruits,50,wednesday,3.91
1.588747642804982,10,167,0.36271500623702013,vegetables,47,tuesday,1.47
10.00388670377681,0,172,0.6118015920107093,meat,40,sunday,1.05
1.0850813228287144,29,172,0.5396682090640951,vegetables,53,monday,0.99
4.445575076408897,23,135,0.7698611631862449,dairy,51,thursday,4.7
7.437159471778045,21,285,0.5422525182507768,dairy,41,wednesday,7.04
23.300635040234805,2,201,0.5717512358043485,other,67,wednesday,9.46
17.339267005733724,19,235,0.6409278778233152,bakery,52,wednesday,13.54
12.499740687316834,20,105,0.5170618483077827,other,50,monday,12.5
25.974698732840885,0,351,0.8227652615418614,seafood,32,thursday,2.46
17.724415233921988,28,47,0.39298657761401967,bakery,43,monday,16.04
10.847275214559193,11,362,0.2833007293838342,fruits,44,monday,7.38
11.66791775273386,-1,110,0.7176055917622661,bakery,47,wednesday,1.02
8.132774123150735,1,349,0.5644527355545469,other,38,saturday,2.16
12.289028410458197,16,172,0.7319625785292743,bakery,50,sunday,10.64
1.9409027385728197,20,137,0.2602894028606185,vegetables,52,friday,1.87
42.882294954122244,5,266,0.806927245899964,meat,57,saturday,36.16
5.018765036908625,-2,494,0.9577272844558973,dairy,53,monday,0.48
47.647851658515904,24,329,0.2217346305292446,seafood,44,tuesday,47.75
12.624691086145557,12,345,0.19399071942314802,other,51,wednesday,9.61
7.187035150311694,6,308,0.7840349624425879,dairy,62,sunday,5.02
21.30772546024849,28,490,0.2159029949871837,meat,48,sunday,21.83
2.8542123125685808,11,370,0.9206035277015422,dairy,51,thursday,2.66
5.6124675933710595,-2,312,0.5056653225398543,vegetables,39,thursday,0.46
18.65918336162269,28,310,0.2412238743274451,seafood,60,sunday,16.64
7.639173148735097,19,363,0.6672387903213715,vegetables,51,tuesday,6.07
